name, dam, sire, sex, year
Allimac's Maze,Rassemann's Energy Of The Ring,Blondie's Power Ranger, Male, 2008 
Allimac's Memory Lane,Rassemann's Energy Of The Ring,Blondie's Power Ranger, Female, 2008 
Allimac's Mirage,Rassemann's Energy Of The Ring,Blondie's Power Ranger, Female, 2008 
Allimac's Mirth' N' Merry,Rassemann's Energy Of The Ring,Blondie's Power Ranger, Male, 2008 
Allimac's Moon-Shine,Rassemann's Energy Of The Ring,Blondie's Power Ranger, Male, 2008 
Allimac's Much Of All,Rassemann's Energy Of The Ring,Blondie's Power Ranger, Female, 2008 
Allimac's Muddy Paws,Rassemann's Energy Of The Ring,Blondie's Power Ranger, Male, 2008 
Allimac's Nearly Perfect,Lærkegården's Fraekke Frida,Blondie's Power Ranger, Female, 2009 
Allimac's Nevertheles,Lærkegården's Fraekke Frida,Blondie's Power Ranger, Female, 2009 
Allimac's No Matter What,Lærkegården's Fraekke Frida,Blondie's Power Ranger, Female, 2009 
Allimac's Now' N' Forever,Lærkegården's Fraekke Frida,Blondie's Power Ranger, Male, 2009 
Allimac's Number One,Lærkegården's Fraekke Frida,Blondie's Power Ranger, Male, 2009 
Allimac's Obsession,Dina,Done for Myths Gaucho, Male, 2011 
Allimac's Oil Slick,Dina,Done for Myths Gaucho, Female, 2011 
Allimac's One In A Thousend,Dina,Done for Myths Gaucho, Male, 2011 
Allimac's One The Spot,Dina,Done for Myths Gaucho, Male, 2011 
Allimac's Opaque Touch,Dina,Done for Myths Gaucho, Female, 2011 
Allimac's Pacifer,Honeysilk Sweet Meeri,Mythmakers Otto Onslow, Female, 2011 
Allimac's Panda,Honeysilk Sweet Meeri,Mythmakers Otto Onslow, Female, 2011 
Allimac's Peace Of Mind,Honeysilk Sweet Meeri,Mythmakers Otto Onslow, Female, 2011 
Allimac's Pebble,Honeysilk Sweet Meeri,Mythmakers Otto Onslow, Female, 2011 
Allimac's Playboy,Honeysilk Sweet Meeri,Mythmakers Otto Onslow, Male, 2011 
Allimac's Pumpernickel,Honeysilk Sweet Meeri,Mythmakers Otto Onslow, Female, 2011 
Allimac's Push-Button,Honeysilk Sweet Meeri,Mythmakers Otto Onslow, Female, 2011 
Allimac's Quarter Note,Honeysilk Sweet Meeri,Mythmakers Peter Pan, Female, 2012 
Allimac's Quatation Mark,Honeysilk Sweet Meeri,Mythmakers Peter Pan, Male, 2012 
Allimac's Quavering Heights,Honeysilk Sweet Meeri,Mythmakers Peter Pan, Female, 2012 
Allimac's Quest For Kisses,Honeysilk Sweet Meeri,Mythmakers Peter Pan, Male, 2012 
Allimac's Question Mark,Honeysilk Sweet Meeri,Mythmakers Peter Pan, Female, 2012 
Allimac's Quicksilver,Honeysilk Sweet Meeri,Mythmakers Peter Pan, Female, 2012 
Allimac's Quilted Quarts,Honeysilk Sweet Meeri,Mythmakers Peter Pan, Male, 2012 
Allimac's Quippy Cuddler,Honeysilk Sweet Meeri,Mythmakers Peter Pan, Female, 2012 
Allimac's Radiantenergy,Kopciuszka Gaucho,Filofany Ex-actly on Time, Female, 2013 
Allimac's Ragamuffin,Kopciuszka Gaucho,Filofany Ex-actly on Time, Male, 2013 
Allimac's Ragbag,Kopciuszka Gaucho,Filofany Ex-actly on Time, Female, 2013 
Allimac's Rebus,Kopciuszka Gaucho,Filofany Ex-actly on Time, Female, 2013 
Allimac's Riff-Raff,Kopciuszka Gaucho,Filofany Ex-actly on Time, Male, 2013 
Allimac's Ringading,Kopciuszka Gaucho,Filofany Ex-actly on Time, Female, 2013 
Allimac's Rubber Band,Kopciuszka Gaucho,Filofany Ex-actly on Time, Female, 2013 
Allimac's Rush Hour,Kopciuszka Gaucho,Filofany Ex-actly on Time, Male, 2013 
Allimac's Scaramouche,Allimac's Oil Slick,Mythmakers Robin Hood, Male, 2013 
Allimac's Scarlet Sun-Set,Allimac's Oil Slick,Mythmakers Robin Hood, Female, 2013 
Allimac's Shooting Star,Allimac's Oil Slick,Mythmakers Robin Hood, Male, 2013 
Allimac's Slice Of Magic,Allimac's Oil Slick,Mythmakers Robin Hood, Male, 2013 
Allimac's Sparklin Fun,Allimac's Oil Slick,Mythmakers Robin Hood, Male, 2013 
Allimac's Sweet Pea,Allimac's Oil Slick,Mythmakers Robin Hood, Male, 2013 
Allimac's Theosophist,Dina,Filofany Ex-actly on Time, Male, 2014 
Allimac's Tom-Tom,Dina,Filofany Ex-actly on Time, , 2014 
Allimac's Umber Afterglow,Mythmakers Undercover,Allimac's One The Spot, Male, 2014 
Allimac's Under The Cover,Mythmakers Undercover,Allimac's One The Spot, Female, 2014 
Allimac's Underground Fairy,Mythmakers Undercover,Allimac's One The Spot, Female, 2014 
Allimac's Up To You,Mythmakers Undercover,Allimac's One The Spot, Male, 2014 
Allimac's Uptown Rider,Mythmakers Undercover,Allimac's One The Spot, Male, 2014 
Allimac's US Forever,Mythmakers Undercover,Allimac's One The Spot, Female, 2014 
Allimac's Useful Gadget,Mythmakers Undercover,Allimac's One The Spot, Female, 2014 
Allistair Applepie from The Small Hill Rebels,Bonnie from the Stone of Scone,Blåtirans Gandalf The Gray, Male, 2013 
Allister Arrowhead Kiss &amp; Corgi,Rusty Gaucho,Cool Breezer for Jazenta Gaucho, Male, 2014 
Allspark Mustbemygirl,Mandy Rose Of Wendac,Molead Mustbe at Allspark, Female, 1983 
Ally Kasmir Moravia,Rotshcard Auronelain,Highlander Cymraeg Ci, Female, 2011 
Alma,Tasakin Camilla,Tasakin Dumbo, Female, 1994 
Alma,Ingermanlandija Zambaili,Bersar Silvan Hilarresparks, Female, 
Almarosa Blu Di Prussia,Tuttiki Iduna-Vita Rustica,Glynaeron Gwron Glas, Female, 2014 
Alpertti,Tasakin Camilla,Tasakin Dumbo, Male, 1994 
Alphon Emanuel,Alphon Queen Cleopatra,Rimican Brandy, Male, 
Alphon Gay Andrew,Tapylyn Gay Vicky,Kentwood Fronwen, Male, 1963 
Alphon Ianthe,Lewdux Queen O'Spades,Arnwye Beau Bruno, Female, 
Alphon Ironside,Lewdux Queen O'Spades,Arnwye Beau Bruno, Male, 
Alphon Neptune Star,Alphon Queen Pauletta,Dilwel Peter, Male, 1976 
Alphon Queen Cleopatra,Lewdux Queen O'Spades,Arnwye Russell, Female, 
Alphon Queen Pauletta,Alphon Queen Cleopatra,Spotfield Don Roy, Female, 
Alphon Question Mark,Lewdux Queen O'Spades,Arnwye Russell, Male, 
Alphon Valentina,Alphon Ianthe,Alphon Question Mark, Female, 
Alphon Viceroy Patson,Caderville Heidi,Alphon Emanuel, Male, 
Alphon Yachtsman,Alphon Queen Cleopatra,West Country Max, Male, 
Alpineair Foxy Gentleman,Damlen Genteel Lady,Kardibroke Kwik Smart, Male, 
Alsace Black Knight,Alsace Cynfos,Alsace Du Seren, Male, 1965 
Alsace Cantwr Of Hive,Gleghornie Bobbin,Gleghornie Elkay Miri, Female, 1958 
Alsace Ceinder,Gleghornie Bobbin,Gleghornie Elkay Miri, Female, 1958 
Alsace Chweg,Gleghornie Bobbin,Gleghornie Elkay Miri, Female, 1958 
Alsace Cynfos,Alsace Cynrags,Alsace Glasaidd Onnen, Female, 1961 
Alsace Cynrags,Gleghornie Bobbin,Gleghornie Elkay Miri, Female, 1958 
Alsace Du Seren,Trecwn Temptress,Alsace Glasaidd Mwg, Male, 
Alsace Glasaidd Blodeuyn,Alsace Minniehaha,Rozavel Blue At Last, Female, 1958 
Alsace Glasaidd Botwn,Alsace Minniehaha,Rozavel Blue At Last, Female, 1958 
Alsace Glasaidd Mwg,Tiddlywink,Rozavel Blue Again, Male, 1960 
Alsace Glasaidd Onnen,Alsace Megan,Rozavel Blue Again, Male, 
Alsace Glasaidd Teithiwr,Alsace Glasaidd Blodeuyn,Alsace Glasaidd Mwg, Male, 1961 
Alsace Megan,Freedarno Eirlys,Rozavel Ddu, Female, 
Alsace Minniehaha,Mandy of Miltonville,Edley's Candy Boy, , 1956 
Alsace Pererin,,, Female, 
Altar Brno - Frost,Uszaki Empress Brilliant,Addanc Lucky Veles, Male, 2011 
Alure Lynns Johnson,Sisterwood's Tallied Up,Lynnfarm Legacy of the Dream HT, , 2006 
Alurelynn Ottlake Abigail Road,Lynfarm Justalil Shenangans,Lynn Farms Independence Day, Female, 2006 
AlureLynn's Somebody to Love,Imago's LF Pocketful Of Miracle HT,Lynn Farm's What's Not to Love HT, Female, 2010 
Alurelynns As You Like It,Lynn Farm Shes Gone Country,Lynn Farm Midsumernite Dream, Female, 2007 
Alurelynns Jane Austen,Sisterwood's Tallied Up,Lynnfarm Legacy of the Dream HT, Female, 2006 
Alva aus dem Feenring,Audrey from the Stone of Scone,Gowerston Graduate, Female, 2012 
Always Alwin from The Small Hill Rebels,Bonnie from the Stone of Scone,Blåtirans Gandalf The Gray, Male, 2013 
Alwaysmerri Abigayl,Tempest Bryanna,Pinehurst's Big Boy, Female, 1993 
Alwaysmerri Amblwr,Tempest Bryanna,Pinehurst's Big Boy, Male, 1993 
Alwaysmerri Andrew,Tempest Bryanna,Pinehurst's Big Boy, Male, 1993 
Alwaysmerri Annabelee,Tempest Bryanna,Pinehurst's Big Boy, Female, 1993 
Alwaysmerri Attaboy,Tempest Bryanna,Pinehurst's Big Boy, Male, 1993 
Alwyth Dawn Cherie,Maclaird Rosalind,Corlan Cymro Bach, Female, 1971 
Alwyth Felika,Maclaird Rosalind,Corlan Cymro Bach, Male, 1971 
Alwyth Felina,Maclaird Rosalind,Corlan Cymro Bach, Male, 1971 
Alwyth Lady Lass,Maclaird Rosalind,Healwen Bobby Dazzler, Female, 
Alys Brno - Frost,Uszaki Empress Brilliant,Addanc Lucky Veles, Female, 2011 
AM BIS GCHB Nicholar's De Novo of Belukha HT,Nicholar's Soul Survivor CD RAE HT MXP4 MXPB MJP4 MJPB PAX OFP THD VCX EAC OJC OCC TG-O TN-E,Rhydowen Penny Chip ROMs, Female, 2007 
AM CH Nicholar's My Irish Tails,Nicholar's Unforgettable CD BN RA MX MXJ MXP CA THD CGC,Coedwig's Brindled Bruin, Male, 2014 
AM CH Nicholar's My Sweet George,Daisy Mae,Belukhas Bristol Bay Best CD CGC HIC, Male, 1998 
AM CH Nicholar's Rainbow Treasure,Can BISS AM CH CAN CH Nicholar's Guardian Angel NA NAJ AXP AJP,Belukha Artist Proof CGC, TDI,, Male, 2002 
Am GCh Cymbrogi's Jacqueline Du Pre,Carddicted Jalapeno,Serah Celtic Legend of Llynhill, Female, 2016 
Amadeus vom Forster Nei�eland,Fest Gina Prima Aprilis,Johann vom B�kerhook, Male, 2009 
AMALTEA Gratia Superis,Uszaki Dodzilla DUR IR,Uszaki Falkor Luck Dragon, Female, 2013 
Amanda Od Modr�ho Joh�nka,Born To Be Happy In Czech Republic Gaucho,Andre Corlan Gi, Female, 2009 
Amanda of Maurilyn,Sweet Ja-Rae of Kimchella,Dark Dandy of Kolguer, Female, 1971 
Amant Zorro Controversia,Uchachana Uchatka Controversia,Faarup Kawasaki, Male, 2012 
Amantearose,Fun Lady de la Caverne des Anges,Antoc Gregory, , 1994 
Amara Corlan Gi,Bryn Mawr Lisiura,Beckrow Beg to Differ, Female, 2000 
Amaranthu's Foxy Tail,Imme's Aida Alvedans,Verdidas Gillis To Immes, Male, 2006 
Amaretto After Nine Kiss &amp; Corgi,Rusty Gaucho,Cool Breezer for Jazenta Gaucho, Male, 2014 
Amazing Agraffi Dummles,Brawos Bis Bahama,Uszaki Big Beat, Female, 2008 
Amazing Angel,Imme's Faisty Filly,Imme's Impressive Blue, Female, 2013 
AMAZING BEAUTY Zlote Psiaki,CYRANKA Virgo Vestalis,Cool Adventure z Domu Polanki (FCI), Female, 2016 
Amazing from Miabo,Tumbling Bull of Joy Betty Boop,Clovertrails I Walk The Line, Female, 2014 
Amber of Ivanmour,Golden Fluer of Medway,Tuahine Merribetson, Female, 1975 
Amber Tailorscardi,Beautiful Dream Kasmir Moravia,Hashfan Villfred, Female, 2017 
Amber v.d.Besthmerberg,Jezalin Saucyspark,Beauty Ronald, , 
Amber Wild Flame,Rusty Gaucho,Cool Breezer for Jazenta Gaucho, Male, 2014 
AMBER Zlote Psiaki FCI,CYRANKA Virgo Vestalis,Cool Adventure z Domu Polanki (FCI), Female, 2016 
Amber's Lilly Of Reiversedge,Bearwoods Sally,Pecan Valley Stanly, Female, 1999 
Ambre Solaire de la Cite de Grands Feux,Souci des Mousquetaires de l'Arms' Park,Bethwyn Beau Brummell, Female, 
Amelanchier Tried And True,Wilsons Wood Winter Wynne,Kirby Of Llanbryn, Male, 1995 
AMELI Rajska Kraina (FCI),KURKUMA z Domu Polanki (FCI),EL DORADO Gaucho, Female, 2017 
Amellus vom Forstwinkel,Aster vom Holledauer Bockerl,Ethan from the Wonderful Oz, Male, 2011 
American Pie,Imme's Faisty Filly,Imme's Impressive Blue, Male, 2013 
Amherodres,Gloen Byw,Gwron, Female, 
Ami,Mandylay's Beauty Lola,Cardax Naylor, Male, 1990 
Amiable Schira of the Royal Dog,Anja v.d. Besthemer Molen,Llanarth Infor, Female, 1973 
Amilla,Athena,Hova Bonde's Ace Ventura, Female, 2012 
Amir Brno - Frost,Uszaki Empress Brilliant,Addanc Lucky Veles, Male, 2011 
Amira aus dem Feenring,Audrey from the Stone of Scone,Gowerston Graduate, Female, 2012 
Amiro von Welterod,Welshclan's Dilwyn Dacey,Carddicted Earl Grey, Male, 2014 
AMMON Gratia Superis,Uszaki Dodzilla DUR IR,Uszaki Falkor Luck Dragon, Male, 2013 
Amor,Verdidas Aberdeen,Deavitte Oakleaf, Male, 1997 
Amore Amaretto,Cookie Controversia,Cyprian Corlan Gi, Female, 2008 
Amorek Zaworek Controversia,Uchachana Uchatka Controversia,Faarup Kawasaki, Male, 2012 
Amoruccio Mio,,, , 
Amoruccio Mio,,, , 
Amoruccio Mio,Uszaki Lets Dance,Coedwig's Malachite RN HXAds STDc HTADIIIds OTDc ATDds HTDI-D,S VC ROMG, Male, 2018 
AMOUR Zlote Psiaki FCI,CYRANKA Virgo Vestalis,Cool Adventure z Domu Polanki (FCI), Female, 2016 
Ampi of the Six Farms,Niffy of the Green Beret,Lees Blackberry, Male, 
Amsel aus der Schwebebahnstadt,Daisy zur Haskenau,Beckrow Best of All, Female, 1985 
Amy,All Trade Kiss N Tell,Yardican Black Knight, Female, 2008 
Amy v.d.Kuilen,,Welshclan's Gentleman George, , 
Amy van de Kuilen,Courtly Black Lady Omaira,Welshclan's Gentleman George, Female, 2005 
Amy vom Forster Nei�eland,Fest Gina Prima Aprilis,Johann vom B�kerhook, Female, 2009 
ANABEL Rajska Kraina (FCI),KURKUMA z Domu Polanki (FCI),EL DORADO Gaucho, Female, 2017 
Analog CC Aint Misbehavin',Analog Cc Kind Of Blue,Analog CC V For Vendetta, Female, 2018 
Analog CC At Last,Analog Cc Kind Of Blue,Analog CC V For Vendetta, Female, 2018 
Analog CC Back In Black,Kiss'n Tell Cymraeg Ci,Sichaz Gregory of Gowerston, Male, 2014 
Analog CC Black Magic,Kiss'n Tell Cymraeg Ci,Sichaz Gregory of Gowerston, Female, 2014 
Analog CC Black'n White,Kiss'n Tell Cymraeg Ci,Sichaz Gregory of Gowerston, Male, 2014 
Analog CC Freddy Freeloader,Analog Cc Kind Of Blue,Analog CC V For Vendetta, Male, 2018 
Analog Cc Goodtimes Blues,All Trade Minnie The Moocher,Gowerston Jazz Singer for Pemcader, Female, 2012 
Analog CC In The Mood,Analog Cc Kind Of Blue,Analog CC V For Vendetta, Male, 2018 
Analog Cc Kind Of Blue,All Trade Minnie The Moocher,Gowerston Jazz Singer for Pemcader, Female, 2012 
Analog CC Milestones,Analog Cc Kind Of Blue,Analog CC V For Vendetta, Male, 2018 
Analog CC Misty,Analog Cc Kind Of Blue,Analog CC V For Vendetta, Female, 2018 
Analog Cc Mood Indigo,All Trade Minnie The Moocher,Gowerston Jazz Singer for Pemcader, Male, 2012 
Analog Cc Mr. Bojangles,All Trade Minnie The Moocher,Gowerston Jazz Singer for Pemcader, Male, 2012 
Analog Cc My Funny Valentine,All Trade Minnie The Moocher,Gowerston Jazz Singer for Pemcader, Female, 2012 
Analog CC Satin Doll,Analog Cc Kind Of Blue,Analog CC V For Vendetta, Female, 2018 
Analog CC Serendippidy,Pemcader Swanpool Aphrodite,Jazzmatazz Cymraeg Ci, Male, 2016 
Analog CC Shady Lady,Pemcader Swanpool Aphrodite,Jazzmatazz Cymraeg Ci, Female, 2016 
Analog CC Shotgun,Pemcader Swanpool Aphrodite,Jazzmatazz Cymraeg Ci, Male, 2016 
Analog Cc So What,All Trade Minnie The Moocher,Gowerston Jazz Singer for Pemcader, Female, 2012 
Analog CC Supernova,Pemcader Swanpool Aphrodite,Jazzmatazz Cymraeg Ci, Female, 2016 
Analog CC Supersticious,Pemcader Swanpool Aphrodite,Jazzmatazz Cymraeg Ci, Female, 2016 
Analog CC V For Vendetta,Pemcader Swanpool Aphrodite,Hooligan Corlan Gi, Male, 2017 
Analog CC Vamp,Pemcader Swanpool Aphrodite,Hooligan Corlan Gi, Female, 2017 
Analog CC Vanilla Sky,Pemcader Swanpool Aphrodite,Hooligan Corlan Gi, Female, 2017 
Analog CC Vanity Fair,Pemcader Swanpool Aphrodite,Hooligan Corlan Gi, Female, 2017 
Analog CC Vertigo,Pemcader Swanpool Aphrodite,Hooligan Corlan Gi, Male, 2017 
Analog CC Victoria's Secret,Pemcader Swanpool Aphrodite,Hooligan Corlan Gi, Female, 2017 
Analog CC Victoria’s Secret,Pemcader Swanpool Aphrodite,Hooligan Corlan Gi, Female, 2017 
Analog CC Voodoo Doll,Pemcader Swanpool Aphrodite,Hooligan Corlan Gi, Female, 2017 
Anariel from Distans Land,Kherders Madrai Brusnika,Aethwy Ultramarine, Female, 2017 
Ancel of Maurilyn,Sweet Ja-Rae of Kimchella,Dark Dandy of Kolguer, Male, 1971 
Andaly,Blondie's Back in Business,Fest Peter Pan, Female, 2015 
Anderl vom Holledauer Bockerl,Ophelia zur Emsf�hre,Rubad-Harrow Brython, Male, 2009 
Andersley Carolina,Andersley Cimarron,Sanja Andersley Folsom, Female, 1988 
Andersley Carson,Andersley Coalinga,Andersley Pikes Peak, Male, 1986 
Andersley Cascade of Sanja,Andersley Coalinga,Andersley Pikes Peak, Male, 1986 
Andersley Charron,Andersley Coalinga,Andersley Pikes Peak, , 1986 
Andersley Cheyenne,Andersley Coalinga,Andersley Pikes Peak, Male, 1986 
Andersley Chipita,Andersley Coalinga,Andersley Pikes Peak, Female, 1986 
Andersley Cimarron,Andersley Coalinga,Andersley Pikes Peak, Female, 1986 
Andersley Cincinnati of Sanja,Andersley Cimarron,Sanja Andersley Folsom, Male, 1988 
Andersley Coalinga,Gretfran Andorah of Andersley,Sanja Bodie, Female, 1983 
Andersley Colorado,Andersley Fresno,Gwenlais Crwys of Sanja, Male, 1984 
Andersley Coweta of Marycliffe,Andersley Cimarron,Sanja Andersley Folsom, Female, 1988 
Andersley Cripplecreek,Andersley Coalinga,Andersley Pikes Peak, Male, 1986 
Andersley Durango,Gretfran Andorah of Andersley,Sanja Bodie, Male, 1983 
Andersley Fresno,Gretfran Andorah of Andersley,Sanja Bodie, Female, 1983 
Andersley I Feel Love,Andersley In Love,Robgwen Magic Moments Of Lionoak, Female, 
Andersley In Love,Hezelclose Ipomaea of Andersley,Hezelclose Juncus of Andersley, Female, 
Andersley Pikes Peak,Andersley Fresno,Gwenlais Crwys of Sanja, Male, 1984 
Andersley Red Mountain,Andersley Fresno,Gwenlais Crwys of Sanja, Male, 1984 
Andersley Whispering Wind,Veritas Whirlwind of Andersley,Hezelclose Juncus of Andersley, Female, 1979 
Andoni aus der Schneiderstube,Badagri Heat of the Moment,Brawos Bis Dudus, Male, 2011 
Andre Corlan Gi,Bryn Mawr Lisiura,Beckrow Beg to Differ, Male, 2000 
Andrew Kasmir Moravia,Rotshcard Auronelain,Highlander Cymraeg Ci, Male, 2011 
Andrew Od Modr�ho Joh�nka,Born To Be Happy In Czech Republic Gaucho,Andre Corlan Gi, Male, 2009 
ANDVOL GUCCI,,, Male, 
Andy Poden til Hedda,Cardelin's Happy Heddy,Cardelin's Great Gulliver, Male, 1993 
Anemona Malyshka,,, , 
Anemona Malyshka,Vogie Tail Best of Flanders,Blondie's Next Generation Blondies, Female, 2015 
Anette,Mandylay's Beauty Lola,Cardax Naylor, Female, 1990 
Angel,Dilwel Sue Sue,Joseter Mudwin, Female, 1975 
Angel,Tasakin Doris Day,Mackinlay's Lefi, Female, 1995 
Angel de Tichelaar Corgi's,Alana from the Stone of Scone,Courtly's Brindle Lord Vaka Bangsi, Female, 2010 
Angel from Miabo,Tumbling Bull of Joy Betty Boop,Clovertrails I Walk The Line, Female, 2014 
ANGEL Zlote Psiaki FCI,CYRANKA Virgo Vestalis,Cool Adventure z Domu Polanki (FCI), Female, 2016 
Angelica Shawnas Lovely Lady,Royalwood's Crystal Chalice,Camelot's Midnite Rendezvous, Female, 2001 
Angels of Wales Alvin,Dom Elfov Abigail,Cardiganium Aid, Male, 2014 
Angels of Wales Bagira,Dom Elfov Abigail,Cardiganium Aid, Female, 2014 
angels of Wales Barbie,Dom Elfov Abigail,Cardiganium Aid, Female, 2014 
Angels of Wales Barnie,Dom Elfov Abigail,Cardiganium Aid, Male, 2014 
Angels of Wales Beauty,Dom Elfov Abigail,Cardiganium Aid, Female, 2014 
Angels of Wales Bell,Dom Elfov Abigail,Cardiganium Aid, Female, 2014 
Angels of Wales Bingo,Dom Elfov Abigail,Cardiganium Aid, Male, 2014 
Angels of Wales Brave,Dom Elfov Abigail,Cardiganium Aid, Male, 2014 
Angels of Wales Delvin,Dom Elfov Abigail,Dom Elfov Ratebor, Male, 2015 
Angels of Wales Disney,Dom Elfov Abigail,Dom Elfov Ratebor, Female, 2015 
Angels of Wales Don,Dom Elfov Abigail,Dom Elfov Ratebor, Male, 2015 
Angels of Wales Dona,Dom Elfov Abigail,Dom Elfov Ratebor, Female, 2015 
Angels of Wales Gloria,Imago's Joyful Finn,Cardiganium Aid, Female, 2015 
Angels of Wales Hanny,Corgi na Volge Zara Prakt,Angels of Wales Alvin, Female, 2016 
Angels of Wales Hanry,Corgi na Volge Zara Prakt,Angels of Wales Alvin, Male, 2016 
Angels of Wales Happy,Corgi na Volge Zara Prakt,Angels of Wales Alvin, Male, 2016 
Angels of Wales Hercules,Corgi na Volge Zara Prakt,Angels of Wales Alvin, Male, 2016 
Angharad Becca,,, Female, 
Angharad Bryn,Cawnen-Plas Pegwyn,Trump Of Kencia, Male, 
Angharad Cricket Of Lundrive,Tewgi Torwyn,Angharad Bryn, Female, 
Angharad James Robert,Angharad's Velvet Whiskers,Zircon's Bobby Socks ROMs, Male, 1995 
Angharad Sentimental Journey,Angharad's Velvet Whiskers,Zircon's Bobby Socks ROMs, Male, 1995 
Angharad' Tuxedo Junction,Angharad's Velvet Whiskers,Zircon's Bobby Socks ROMs, Male, 1995 
Angharad's Quaint Red Flyer,Ait Melgwlithci of Davenitch,Zircon's Bobby Socks ROMs, Male, 1996 
Angharad's Star Dust,Angharad's Velvet Whiskers,Zircon's Bobby Socks ROMs, Female, 1995 
Angharad's Velvet Whiskers,Zircon's Sugarplum Fantasy ROMs,Zircon's Puss'n Boots, Female, 1992 
Anghous Kozmic Blues Boy,Afara Janel,Sandsea Only In A Fairytale, Male, 2010 
Angie Jolie Des Ptimour,Relie of Merry Tefi,Ubert de la Cite des Grands Feux, Female, 2005 
Angie vom B�kerhook,Fairground Black Magic Angie,Elmo The Dog's Cabaret, Female, 1999 
Angwyn Adelfrid,Tuahine Merri-Ebony,Parmel Debonair, Male, 1977 
Angwyn Adelwin,Tuahine Merri-Ebony,Parmel Debonair, Male, 1977 
Angwyn Allegra,Tuahine Merri-Ebony,Parmel Debonair, Female, 1977 
Angwyn Amalburga,Tuahine Merri-Ebony,Parmel Debonair, Female, 1977 
Angwyn Bena Brangwirin,Tuahine Merri-Ebony,Leamore Diplomat, , 1978 
Angwyn Calluella,Angwyn Allegra,Cambrian Kan't Resist, Female, 1980 
Angwyn Chantesuta,Angwyn Allegra,Cambrian Kan't Resist, Female, 1980 
Angwyn Chrysilla,Angwyn Allegra,Cambrian Kan't Resist, Female, 1980 
Angwyn Chrysogonus,Angwyn Allegra,Cambrian Kan't Resist, Female, 1980 
Angwyn Clorinda,Angwyn Allegra,Cambrian Kan't Resist, Female, 1980 
Angwyn Columbine,Angwyn Allegra,Cambrian Kan't Resist, Female, 1980 
Angwyn Landene,Badagri Sailing High,Copperleaf Courtney, Female, 1996 
Anhalas Delwyn,Llanarth Bronwen,Choice of the Pops, Male, 1974 
Aniara,Cesrose Lisbeth,First Flock v.d. Veulen Hof, Female, 1991 
Aniello Dellacroce,,, , 
Aniello Dellacroce,Uszaki Lets Dance,Coedwig's Malachite RN HXAds STDc HTADIIIds OTDc ATDds HTDI-D,S VC ROMG, Male, 2018 
Anina vom Forstwinkel,Aster vom Holledauer Bockerl,Ethan from the Wonderful Oz, Female, 2011 
Anja,Wecona v.Minas Tirith,Lees Blackberry, Female, 
Anja Rita van de Valther Schans,Lovely Rita v.d.Besthemer Molen,Llanarth Jestyn, Female, 
Anja v.d. Besthemer Molen,Snowshoes from Shiel,Hildenmanor Glenmist, Female, 
Anja-Ronny v.d.Valtherschans,Lovely Rita v.d.Besthemer Molen,Llanarth Jestyn, Male, 
Anjareimer,Sankt-Cardis Heidi,Cardax Jefferson, Female, 1986 
Anka aus der Schwebebahnstadt,Daisy zur Haskenau,Beckrow Best of All, Female, 1985 
ankolis tres reyes penny lane,Aisha Magic Black &amp; Blues,Genesis Cymraeg Ci, Female, 
Ann Amlwg,,, Female, 
Annabelle Thinkerbelle,Notty Oaks Annie Oakley,Rememberance Old Black Magic, Female, 2012 
Anneke,Britt,Duke, Female, 1987 
Annelie M�ller von Welterod,Welshclan's Dilwyn Dacey,Carddicted Earl Grey, Female, 2014 
Annetta of Melwil,Brynhall Winter Shadows,Lees Black Heckle of Gorthleck, Female, 1987 
Annette of Ivanmour,Golden Fluer of Medway,Tuahine Merribetson, Female, 1975 
Annfield's Cappuchino,Domino's Vanity Fair,Tango of Bablake, Female, 
Annfield's Mango Ap Beau,Annfield's Cappuchino,Brymore's Beau Geste, Male, 1971 
Annfield's Rumpus Ap Mango,Rollingwood's Dorinda Ap Beau,Annfield's Mango Ap Beau, Male, 1974 
Annie,Su-Ets Dual Choice of Cardiff,Warwicks Spectrum Kazaam, Female, 1998 
Annie Of Fine Creek,Hillsborough's Michie ROMb,Phi-Vestavia's Jeremy, Female, 1988 
Annie of the Six Farms,Niffy of the Green Beret,Lees Blackberry, Female, 
Annika vom Benser Tief,Nena vom B�kerhook,Clovertrails I Walk The Line, Female, 2016 
Annuska,Blondie's Elion the Beautiful Elven,Geestland's Vulpine Villain, Female, 2011 
Annwn's Simly Solomon,Floatin' Ynysddu,Tamlin King Solomon JW, Male, 2001 
Annwn's Simply Simon,Floatin' Ynysddu,Tamlin King Solomon JW, Male, 2001 
Annwn's Simply Tigger,Floatin' Ynysddu,Tamlin King Solomon JW, Male, 2001 
Annwn's Sweet Cimath,Floatin' Ynysddu,Tamlin King Solomon JW, Female, 2001 
Annwn's Sweet Salome,Floatin' Ynysddu,Tamlin King Solomon JW, Female, 2001 
Annwn's Sweet Sky Trouble,Floatin' Ynysddu,Tamlin King Solomon JW, Female, 2001 
Annwyl-Nerys,Nickname's Peach-Meable,Cardax Vivaldi Jubilee, Female, 1992 
Annwyn,Davenitch Rockamundo,Twinroc Max-In-A-Million ROMs, Female, 1995 
Annwyn Celtic Pearl,Cardiridge Yardican Witchy Woman,Rainbow's Macwallace Jw Red, Female, 2009 
Annwyn Chaps Witchcraft,Larchmonts Mocha Swirl,Davenitch Garth O Chaps ROMb, Female, 2000 
