name, dam, sire, sex, year
Aberdovey Shortstop,Aberdovey Elite Designer Lil,Sisterwood's Winsome Will ROMs, , 1999 
Aberdovey Sisterwood's Dior,Aberdovey Elite Designer Lil,Sisterwood's Winsome Will ROMs, Female, 1998 
Aberdovey Sisterwood's Gucci,Rhydowen Elite Designer,Zircon's Jack of Hearts AM CD ROMb, Male, 1993 
Aberdovey Starlight Coast AM CD RA,Aberdovey's Queen Rocky Top,Trailwyn Aberdovey Uotobnpix, Female, 1999 
Aberdovey Strawberry Jam,Aberdovey Hey Jude Rhydowen,Kentwood Mintys, Female, 1996 
Aberdovey Suzyq Of Rhydowen,Aberdovey Hey Jude Rhydowen,Kentwood Mintys, Female, 1996 
Aberdovey Taliesin's Chadeau,Pluperfect Prim N' Proper,Rhydowen Cymric, Male, 1993 
Aberdovey Tom Lady Jane,Aberdovey's Queen Rocky Top,Trailwyn Aberdovey Uotobnpix, Female, 1999 
Aberdovey Victoria Rose,Pluperfect Prim N' Proper,Vestavia's Marcus Aurelius, Female, 1989 
Aberdovey's Archibald,Pluperfect Prim N' Proper,Rhydowen Cymric, Male, 1993 
Aberdovey's Autumn Penelope,Rhydowen's Formal Affair,Rhydowen Philadelphia Flash ROMb, Female, 1991 
Aberdovey's Bartles And James,Happy's Garnet,Vestavia's Marcus Aurelius, Male, 1986 
Aberdovey's Cappachino,Aberdovey's Queen Rocky Top,Trailwyn Aberdovey Uotobnpix, Male, 1999 
Aberdovey's Captain Kidd,Pluperfect Prim N' Proper,Rhydowen Cymric, Male, 1993 
Aberdovey's Cleopatra,Aberdovey's Queen Rocky Top,Trailwyn Aberdovey Uotobnpix, Female, 2001 
Aberdovey's Coco Chanel,Aberdovey Elite Designer Lil,Sisterwood's Winsome Will ROMs, Female, 1998 
Aberdovey's Crosstown Calypso,Aberdovey Hey Jude Rhydowen,Kentwood Mintys, Female, 1996 
Aberdovey's Friendly Phoebe,,, Female, 1985 
Aberdovey's Infatuation,Grangefield Inquisitive,Llandaff Harlem Fox Trot (AI) RN, Female, 2007 
Aberdovey's Java,Aberdovey's Queen Rocky Top,Trailwyn Aberdovey Uotobnpix, Male, 1999 
Aberdovey's Jazz'n Jack,Aberdovey's Primped N' Proper,Rhydowen Cymric, Male, 1994 
Aberdovey's Ladye O' Mae,Rhydowen's Formal Affair,Rhydowen Philadelphia Flash ROMb, Female, 1991 
Aberdovey's Lightning Levi,Aberdovey's Queen Rocky Top,Trailwyn Aberdovey Uotobnpix, Male, 1999 
Aberdovey's Pippin Galadriel,Happy's Garnet,Vestavia's Marcus Aurelius, Female, 1986 
Aberdovey's Primped N' Proper,Pluperfect Prim N' Proper,Kentwood Luc ROMg, Female, 1990 
Aberdovey's Prince William,Aberdovey's Primped N' Proper,Rhydowen Cymric, Male, 1994 
Aberdovey's Queen Rocky Top,Aberdovey's Primped N' Proper,Rhydowen I Be Jammin NA TT ROMb, Female, 1996 
Aberdovey's Razzledazzle,Aberdovey's Primped N' Proper,Rhydowen Cymric, Male, 1994 
Aberdovey's Roman Aurelius,,, Male, 1985 
Aberdovey's Tell A Tale,Grangefield Inquisitive,Llandaff Harlem Fox Trot (AI) RN, Male, 2007 
Aberdovey's Thistle At Rapier,Aberdovey's Primped N' Proper,Rhydowen Cymric, Female, 1994 
Aberdovey's Tuff Stuff,Happy's Garnet,Vestavia's Marcus Aurelius, Male, 1986 
Aberdovey's Tyler's Tops Stnly,Rhydowen's Formal Affair,Locksleyhall Laird ROMg, Male, 1989 
Aberdoveys Urn Field Amber,Happy's Garnet,Vestavia's Marcus Aurelius, Female, 1986 
Aberdovy Harlem Jazzman,Grangefield Inquisitive,Llandaff Harlem Fox Trot (AI) RN, Male, 2007 
Aberdovy's The Raconteur,Shiloh's Josie of Raconteur,Vestavia's Marcus Aurelius, Female, 1990 
Aberfan Ap Keeche,Petite Of Rocky Springs,Gwenhwyfar's Steffan, Female, 
Abergavenny,,, Female, 1987 
Aberlee Far And Away,Willowglen Charisma,Barclay Beckrow Prince, Male, 
Aberlee Imagine That,Korgewel Kerrilyne,Jezalin Phoenix of Joseter, Male, 
Aberlyn Beau Bruno,Aberlyn Sudetta Queen,Glonoela Montanna, Male, 
Aberlyn Chester Lad,Aberlyn Sudetta Queen,Glonoela Montanna, Male, 
Aberlyn Coralee Rose,Aberlyn Princess Rosee,Hytare Glamour Boy, Female, 
Aberlyn Glomon Lad,Aberlyn Sudetta Queen,Glonoela Montanna, Male, 
Aberlyn Loralea Lass,Aberlyn Sudetta Queen,Glonoela Montanna, Female, 
Aberlyn Princess Rosee,,, Female, 
Aberlyn Sudetta Queen,Spotfield Shiona Lass,Hytare Chester Lad, Female, 
Aberwyvern Aelwyd Incorrigible,Aelwyd Aberwyvern Baklava,Aberwyvern Llanelidon, Male, 1999 
Aberwyvern Cedarstone Llanbedr,Aelwyd Judge Emily Murphy,Cedarstone's Rolls Royce, Male, 1994 
Aberwyvern Cleo Laine,Bluetrix Billie Holiday Blues,Aberwyvern Llanelidon, Female, 1999 
